ID_vuelo;Id_empresa;Tráfico (N/I);Tipo Vuelo;Pasajeros;Carga + Correo (Kg)
175;4;N;R;59;0
176;4;N;R;8;0
177;4;N;R;7;0
178;4;N;R;44;0
179;4;N;R;1;0
180;4;I;R;2;0
181;4;I;R;19;0
182;4;I;R;5;0
183;4;I;R;89;0
184;4;I;R;272;0
185;4;I;R;1;0
186;4;I;R;13;0
187;4;I;R;441;0
188;4;I;R;2;0
189;4;I;R;19;0
190;4;I;R;7;0
191;4;I;R;111;0
192;4;I;R;51;0
193;4;I;R;1;0
194;4;I;R;1;0
195;4;I;R;3;0
196;4;I;R;45;0
197;4;I;R;9;0
198;4;I;R;10;0
199;4;I;R;13;0
200;4;I;R;64;0
201;4;I;R;14;0
202;4;I;R;45;0
203;4;I;R;11;0
204;4;I;R;60;0
205;4;I;R;3;0
206;4;I;R;7;0
207;4;I;R;110;0
208;4;I;R;9;0
209;4;I;R;84;0
210;4;I;R;8;0
211;4;I;R;4;0
212;4;I;R;22;0
213;4;I;R;1;0
214;4;I;R;56;0
215;4;I;R;22;0
216;4;I;R;35;0
217;4;I;R;18;0
218;4;I;R;95;0
219;4;I;R;3;0
220;4;I;R;1;0
221;4;I;R;8;0
222;4;I;R;18;0
223;4;I;R;34;0
224;4;I;R;1;0
225;4;I;R;2;0
226;4;I;R;49;0
227;4;I;R;2;0
228;4;I;R;29;0
229;4;I;R;156;0
230;4;I;R;1;0
231;4;I;R;3;0
232;4;I;R;5;0
233;4;I;R;2;0
234;4;I;R;13;0
235;4;I;R;3;0
236;4;I;R;22;0
237;4;I;R;13;0
238;4;I;C;0;250840
239;4;I;R;2011;398682
240;4;I;R;26;0
241;4;I;R;78;0
242;4;N;R;34;0
243;4;I;R;1;0
244;4;I;R;4;0
245;4;N;R;3;0
246;4;I;R;37;0
247;4;I;R;4;0
248;4;I;R;24;0
249;4;I;R;38;0
250;4;I;R;22;0
251;4;I;R;1;0
252;4;I;R;19;0
253;4;I;R;6;0
254;4;I;R;81;0
255;4;I;R;2;0
256;5;I;R;0;158352
257;5;I;R;0;491340
258;5;I;R;0;35197
259;5;I;R;0;22939
260;5;I;R;0;879898
261;5;I;R;0;60147
262;5;I;R;0;87908
263;5;I;R;0;24995
264;5;I;R;0;46387
265;5;I;R;0;0
266;5;I;R;0;0
267;5;N;R;0;73450
268;5;N;R;0;26824
269;5;I;R;0;4370
270;5;I;R;0;2312775
271;5;I;R;0;505958
272;5;I;R;0;0
273;5;I;R;0;170569
274;5;I;R;0;0
275;5;I;R;0;46495
276;5;I;R;0;112992
277;5;I;R;0;1960008
278;5;I;R;0;62548
279;5;I;R;0;276376
280;5;I;R;0;34165
281;5;I;R;0;0
282;5;I;R;0;193223
283;5;I;R;0;16092
284;5;I;C;0;117905
285;5;I;R;0;1584
286;5;I;R;0;3720
287;5;N;R;0;30781
288;5;N;R;0;0
289;5;I;R;0;13928
290;5;N;R;0;40237
291;5;I;R;0;267455
292;5;I;R;0;224276
293;5;I;R;0;6575231
294;5;I;R;0;109600
295;5;I;R;0;143961
296;5;N;R;0;63649
297;5;I;R;0;23212
298;5;I;R;0;116482
299;6;I;R;3793;6349
300;6;I;R;3933;0
301;7;N;T;35;2500
302;7;N;T;35;2520
303;8;I;R;13;0
304;8;I;R;1578;17192
305;8;I;R;146;0
306;8;I;R;6;0
307;8;I;R;204;0
308;8;I;R;1;0
309;8;I;R;34;0
310;8;I;R;1;0
311;8;I;R;101;0
312;8;I;R;1414;0
313;8;I;R;1;0
314;8;I;R;211;0
315;8;I;R;31;0
316;8;I;R;2;0
317;8;I;R;2631;32903
318;8;I;R;20;0
319;8;I;R;21;0
320;8;I;R;1131;0
321;8;I;R;6;0
322;8;I;R;168;0
323;8;I;R;85;0
324;8;I;R;87;0
325;8;I;R;408;0
326;9;N;T;72;0
327;9;N;T;152;0
328;9;N;T;63;12
329;9;N;T;1;0
330;9;N;T;17;21
331;9;N;T;64;0
332;9;N;T;92;0
333;9;N;T;12;155
334;9;N;T;14;107
335;9;N;T;38;10
336;9;N;T;4;3
337;9;N;T;19;0
338;9;N;T;19;0
339;9;N;T;19;0
340;9;N;T;7;154
341;9;N;T;0;0
342;9;N;T;37;49
343;9;N;T;66;88
344;9;N;T;0;0
345;9;N;T;88;0
346;9;N;T;73;0
347;9;N;T;0;0
348;10;I;R;1;0
349;10;I;R;9;0
350;10;I;R;49;0
351;10;I;R;4;0
352;10;I;R;4;0
353;10;I;R;62;0
354;10;I;R;2;0
355;10;I;R;12;0
356;10;I;R;29;0
357;10;I;R;199;0
358;10;I;R;21;0
359;10;I;R;54;0
360;10;I;R;21;0
361;10;I;R;30;0
362;10;I;R;54;0
363;10;I;R;5;0
364;10;I;R;1;0
365;10;I;R;3;0
366;10;I;R;98;0
367;10;I;R;334;0
368;10;I;R;25;0
369;10;I;R;21;0
370;10;I;R;209;0
371;10;I;R;4;0
372;10;I;R;182;0
373;10;I;R;11;0
374;10;I;R;63;0
375;10;I;R;168;0
376;10;I;R;90;0
377;10;I;R;269;0
378;10;I;R;127;0
379;10;I;R;593;0
380;10;I;R;4282;0
381;10;I;R;590;0
382;10;I;R;34;0
383;10;I;R;34;0
384;10;I;R;2;0
385;10;I;R;12;0
386;10;I;R;3319;0
387;10;I;R;1;0
388;10;I;R;9;0
389;10;I;R;71;0
390;10;I;R;3;0
391;10;I;R;350;0
392;10;I;R;98;0
393;10;I;R;5;0
394;10;I;R;55;0
395;10;I;R;80;0
396;10;I;R;2;0
397;10;I;R;1;0
398;10;I;R;99;0
399;10;I;R;56;0
400;10;I;R;2;0
401;10;I;R;1;0
402;10;I;R;204;0
403;10;I;R;1;0
404;10;I;R;3;0
405;10;I;R;1;0
406;10;I;R;2;0
407;10;I;R;5;0
408;10;I;R;12;0
409;10;I;R;12;0
410;10;I;R;42;0
411;10;I;R;61;0
412;10;I;R;32;0
413;10;I;R;80;0
414;10;I;R;67;0
415;10;I;R;110;0
416;10;I;R;163;0
417;10;I;R;127;0
418;10;I;R;157;0
419;10;I;R;213;0
420;10;I;R;2493;0
421;10;I;R;248;0
422;10;I;R;1059;0
423;10;I;R;3573;0
424;10;I;R;5;0
425;10;I;R;7;0
426;10;I;R;15;0
427;10;I;R;11;0
428;10;I;R;49;0
429;10;I;R;54;0
430;10;I;R;4;0
431;10;I;R;20;0
432;10;I;R;34;0
433;10;I;R;12;0
434;10;I;R;58;0
435;10;I;R;98;0
436;10;I;R;3;0
437;10;I;R;8;0
438;10;I;R;35;0
439;10;I;R;131;0
440;10;I;R;25;0
441;10;I;R;87;0
442;10;I;R;195;0
443;10;I;R;2;0
444;10;I;R;2;0
445;10;I;R;131;0
446;10;I;R;234;0
447;10;I;R;226;0
448;10;I;R;132;0
449;10;I;R;317;0
450;10;I;R;587;0
451;10;I;R;16;0
452;10;I;R;49;0
453;10;I;R;21;0
454;10;I;R;45;0
455;10;I;R;74;0
456;10;I;R;8;0
457;10;I;R;33;0
458;10;I;R;38;0
459;10;I;R;29;0
460;10;I;R;39;0
461;10;I;R;72;0
462;10;I;R;3;0
463;10;I;R;8;0
464;10;I;R;3;0
465;10;I;R;1;0
466;10;I;R;5;0
467;10;I;R;6;0
468;10;I;R;1;0
469;10;I;R;4;0
470;10;I;R;1;0
471;10;I;R;22;0
472;10;I;R;76;0
473;10;I;R;98;0
474;10;I;R;45;0
475;10;I;R;272;0
476;10;I;R;163;0
477;10;I;R;2;0
478;10;I;R;24;0
479;10;I;R;34;0
480;10;I;R;16;0
481;10;I;R;44;0
482;10;I;R;22;0
483;10;I;R;2;0
484;10;I;R;1;0
485;10;I;R;10;0
486;10;I;R;11;0
487;10;I;R;37;0
488;10;I;R;1;0
489;10;I;R;2;0
490;10;I;R;31;0
491;10;I;R;2;0
492;10;I;R;6;0
493;10;I;R;22;0
494;10;I;R;1;0
495;10;I;R;27;0
496;10;I;R;36;0
497;10;I;R;102;0
498;10;I;R;86;0
499;10;I;R;607;0
500;10;I;R;218;0
501;10;I;R;270;0
502;10;I;R;607;0
503;10;I;R;1308;0
504;10;I;R;2764;0
505;10;I;R;2485;0
506;10;I;R;3083;0
507;10;I;R;2903;0
508;10;I;R;4561;0
509;10;I;R;8;0
510;10;I;R;16;0
511;10;I;R;150;0
512;10;I;R;20;0
513;10;I;R;115;0
514;10;I;R;141;0
515;10;I;R;23;0
516;10;I;R;76;0
517;10;I;R;172;0
518;10;I;R;62;0
519;10;I;R;234;0
520;10;I;R;334;0
521;10;I;R;1;0
522;10;I;R;29;0
523;10;I;R;83;0
524;10;I;R;100;0
525;10;I;R;109;0
526;10;I;R;64;0
527;10;I;R;279;0
528;10;I;R;326;0
529;10;I;R;15;0
530;10;I;R;18;0
531;10;I;R;430;0
532;10;I;R;1;0
533;10;I;R;167;0
534;10;I;R;226;0
535;10;I;R;2;0
536;10;I;R;53;0
537;10;I;R;70;0
538;10;I;R;62;0
539;10;I;R;221;0
540;10;I;R;92;0
541;10;I;R;314;0
542;10;I;R;2880;0
543;10;I;R;222;0
544;10;I;R;29;0
545;10;I;R;25;0
546;10;I;R;55;0
547;10;I;R;10;0
548;10;I;R;1060;0
549;10;I;R;2;0
550;10;I;R;2;0
551;10;I;R;6;0
552;10;I;R;39;0
553;10;I;R;5;0
554;10;I;R;253;0
555;10;I;R;1;0
556;10;I;R;147;0
557;10;I;R;16;0
558;10;I;R;41;0
559;10;I;R;1;0
560;10;I;R;18;0
561;10;I;R;1;0
562;10;I;R;3;0
563;10;I;R;1;0
564;10;I;R;30;0
565;10;I;R;49;0
566;10;I;R;17;0
567;10;I;R;2;0
568;10;I;R;2;0
569;10;I;R;20;0
570;10;I;R;203;0
571;10;I;R;22;0
572;10;I;R;40;0
573;10;I;R;6;0
574;10;I;R;23;0
575;10;I;R;7;0
576;10;I;R;33;0
577;10;I;R;16;0
578;10;I;R;24;0
579;10;I;R;2905;0
580;10;I;R;206;0
581;10;I;R;12;0
582;10;I;R;176;0
583;10;I;R;1;0
584;10;I;R;67;0
585;10;I;R;58;0
586;10;I;R;8;0
587;10;I;R;1;0
588;10;I;R;16;0
589;10;I;R;37;0
590;10;I;R;1;0
591;10;I;R;32;0
592;10;I;R;87;0
593;10;I;R;50;0
594;10;I;R;26;0
595;10;I;R;183;0
596;10;I;R;216;0
597;10;I;R;20;0
598;10;I;R;484;0
599;10;I;R;9;0
600;10;I;R;1;0
601;10;I;R;49;0
602;10;I;R;1;0
603;10;I;R;110;0
604;10;I;R;12;0
605;10;I;R;114;0
606;10;I;R;37;0
607;10;I;R;149;0
608;10;I;R;81;0
609;10;I;R;193;0
610;10;I;R;2500;0
611;10;I;R;564;0
612;10;I;R;48;0
613;10;I;R;6;0
614;10;I;R;9;0
615;10;I;R;2283;0
616;10;I;R;18;0
617;10;I;R;4;0
618;10;I;R;2;0
619;10;I;R;22;0
620;10;I;R;1;0
621;10;I;R;120;0
622;10;I;R;3;0
623;10;I;R;44;0
624;10;I;R;14;0
625;10;I;R;29;0
626;10;I;R;2;0
627;10;I;R;2;0
628;10;I;R;1;0
629;10;I;R;1;0
630;10;I;R;61;0
631;10;I;R;5;0
632;10;I;R;1;0
633;10;I;R;1;0
634;10;I;R;3;0
635;10;I;R;44;0
636;10;I;R;1;0
637;10;I;R;4;0
638;10;I;R;10;0
639;10;I;R;3;0
640;10;I;R;188;0
641;10;I;R;82;0
642;10;I;R;72;0
643;10;I;R;9;0
644;10;I;R;34;0
645;10;I;R;5;0
646;10;I;R;90;0
647;10;I;R;11;0
648;10;I;R;263;0
649;10;I;R;2900;0
650;10;I;R;94;0
651;10;I;R;9;0
652;10;I;R;22;0
653;10;I;R;196;0
654;10;I;R;7;0
655;10;I;R;21;0
656;10;I;R;89;0
657;10;I;R;2;0
658;10;I;R;73;0
659;10;I;R;2;0
660;10;I;R;6;0
661;10;I;R;1;0
662;10;I;R;30;0
663;10;I;R;24;0
664;10;I;R;30;0
665;10;I;R;2;0
666;10;I;R;2;0
667;10;I;R;1;0
668;10;I;R;29;0
669;10;I;R;3;0
670;10;I;R;5;0
671;10;I;R;55;0
672;10;I;R;137;0
673;10;I;R;162;0
674;10;I;R;556;0
675;10;I;R;183;0
676;10;I;R;455;0
677;10;I;R;351;0
678;10;I;R;2;0
679;10;I;R;170;0
680;10;I;R;2;0
681;10;I;R;43;0
682;10;I;R;22;0
683;10;I;R;4;0
684;10;I;R;11;0
685;10;I;R;2;0
686;10;I;R;24;0
687;10;I;R;13;0
688;10;I;R;179;0
689;10;I;R;1243;0
690;10;I;R;131;0
691;10;I;R;3;0
692;10;I;R;1;0
693;10;I;R;143;0
694;10;I;R;2;0
695;10;I;R;5;0
696;10;I;R;75;0
697;10;I;R;12;0
698;10;I;R;2;0
699;10;I;R;1;0
700;10;I;R;18;0
701;10;I;R;1;0
702;10;I;R;14;0
703;10;I;R;8;0
704;10;I;R;42;0
705;11;N;T;8;350
706;11;N;T;4;100
707;11;N;T;23;600
708;11;N;T;1;50
709;11;N;T;6;150
710;11;N;T;1;50
711;11;N;T;1;50
712;11;N;T;7;200
713;11;N;T;1;50
714;11;N;T;23;600
715;11;N;T;6;150
716;11;N;T;4;100
717;11;N;T;8;350
718;11;N;T;7;200
719;12;I;R;0;60344
720;12;I;R;0;99034
721;13;I;R;3028;0
722;13;I;R;3421;0
723;14;N;R;1125;0
724;14;N;R;711;826
725;14;N;R;686;1742
726;14;N;R;960;0
727;14;I;C;182;0
728;14;N;R;1702;781
729;14;N;R;2256;534
730;14;N;R;228;0
731;14;N;R;1110;15
732;14;N;R;231;0
733;14;N;R;675;81
734;14;N;R;547;0
735;14;N;R;226;3
736;14;N;R;524;32
737;14;N;R;30;0
738;14;N;R;3487;274
739;14;N;C;16;0
740;14;N;R;1011;0
741;14;N;R;4056;112
742;14;N;R;116;0
743;14;N;R;134;0
744;14;N;R;172;0
745;14;N;R;258;0
746;14;N;R;1385;0
747;14;N;R;4;0
748;14;N;R;709;0
749;14;N;R;1561;0
750;14;N;R;681;348
751;14;N;R;1817;109
752;14;N;R;432;0
753;14;N;R;330;2380
754;14;N;R;3557;142
755;14;N;R;955;0
756;14;N;R;636;0
757;14;N;R;124;0
758;14;N;R;226;0
759;14;N;R;752;0
760;14;N;R;501;538
761;14;N;R;3849;2253
762;14;N;R;585;15
763;14;N;R;4056;871
764;14;N;R;730;6106
765;14;N;R;221;0
766;14;N;R;192;0
767;14;N;R;280;0
768;14;N;R;524;2437
769;14;N;R;1035;341
770;14;N;R;3950;3604
771;14;N;R;30;0
772;14;N;R;33;0
773;14;N;R;32;0
774;14;N;R;24;0
775;14;N;R;35;0
776;14;N;R;38;0
777;14;N;R;25;0
778;14;N;R;1426;11
779;14;N;R;1635;0
780;14;N;R;417;107
781;14;N;R;177;1088
782;14;N;R;226;0
783;14;N;R;728;0
784;14;N;R;234;0
785;14;N;R;864;16
786;14;N;R;3852;168
787;14;N;C;8;0
788;14;N;R;392;1
789;14;N;R;1516;1818
790;14;N;R;334;102
791;14;N;R;440;0
792;14;N;R;2230;498
793;14;N;C;18;0
794;14;N;R;219;0
795;14;N;R;695;0
796;14;N;C;15;0
797;14;N;R;414;0
798;14;N;R;760;311
799;14;N;R;2278;1473
800;14;N;R;301;94
801;14;N;R;604;441
802;14;N;R;3974;2377
803;14;N;R;1548;1421
804;14;N;R;1452;0
805;14;N;R;155;302
806;14;N;R;772;2570
807;14;N;R;1464;3402
808;14;N;R;918;0
809;14;N;R;1821;2026
810;14;N;R;545;333
811;14;N;R;497;570
812;14;N;R;211;28
813;14;N;R;1447;817
814;14;N;R;209;0
815;14;N;R;229;61
816;14;N;R;846;1577
817;14;N;R;944;501
818;14;I;C;118;0
819;14;N;R;516;0
820;14;N;R;727;0
821;14;N;R;2318;104
822;14;N;R;345;0
823;14;N;R;401;0
824;15;N;T;0;3260
825;15;N;T;7;45
826;15;N;T;52;470
827;15;N;T;0;1000
828;15;N;T;88;810
829;15;N;T;19;80
830;15;N;T;94;1165
831;15;N;T;56;100
832;15;N;T;34;0
833;15;N;T;18;243
834;15;N;T;5;0
835;15;N;T;83;751
836;15;N;T;5;0
837;15;N;T;18;300
838;15;N;T;17;340
839;15;N;T;4;30
840;15;N;T;5;93
841;15;I;T;19;120
842;15;N;T;29;300
843;15;I;T;2;20
844;15;N;T;56;390
845;15;N;T;0;0
846;15;N;T;19;163
847;15;N;T;0;0
848;15;N;T;318;4167
849;15;N;T;64;723
850;15;N;T;8;0
851;15;N;T;1;0
852;15;N;T;2;0
853;15;N;T;8;50
854;15;N;T;1;0
855;15;N;T;2;0
856;15;N;T;2;50
857;15;N;T;5;200
858;15;N;T;9;450
859;15;N;T;0;0
860;15;N;T;0;0
861;15;N;T;0;0
862;15;N;T;0;0
863;15;N;T;42;1165
864;15;N;T;1094;7445
865;15;N;T;8;80
866;15;I;T;463;2521
867;15;N;T;103;0
868;15;N;T;1;0
869;15;N;T;129;0
870;15;N;T;45;1101
871;15;N;T;7;0
872;15;N;T;55;90
873;15;N;T;24;500
874;15;N;T;14;0
875;15;N;T;2;0
876;15;N;T;13;100
877;15;N;T;19;10
878;15;N;T;0;0
879;15;N;T;24;190
880;15;N;T;2;10
881;15;I;T;10;155
882;15;I;T;375;3142
883;15;I;T;519;6192
884;15;I;T;19;206
885;15;N;T;6;20
886;15;N;T;0;0
887;15;N;T;26;0
888;15;N;T;0;0
889;15;N;T;5;50
890;15;N;T;59;345
891;15;N;T;38;220
892;15;N;T;16;1130
893;15;N;T;19;160
894;15;N;T;38;835
895;15;N;T;4;2600
896;15;N;T;3;550
897;15;N;T;0;0
898;15;N;T;23;0
899;15;N;T;9;4461
900;15;N;T;16;890
901;15;N;T;3;110
902;15;N;T;17;5
903;15;N;T;6;0
904;15;N;T;3;3150
905;15;N;T;7;0
906;15;N;T;52;85
907;15;N;T;3;20
908;15;N;T;2;505
909;15;N;T;3;470
910;15;N;T;0;0
911;15;N;T;1;500
912;15;N;T;419;4540
913;15;N;T;6;50
914;15;N;T;141;1428
915;15;N;T;18;300
916;15;N;T;26;243
917;15;N;T;81;730
918;15;N;T;15;20
919;15;N;T;67;650
920;15;I;T;3;0
921;15;N;T;19;0
922;15;N;T;8;0
923;15;N;T;3;5
924;15;N;T;0;0
925;15;N;T;102;0
926;15;N;T;974;7997
927;15;N;T;2;50
928;15;N;T;23;50
929;15;I;T;416;3062
930;15;N;T;0;1005
931;15;N;T;6;0
932;15;N;T;0;0
933;15;N;T;39;320
934;15;N;T;9;60
935;15;N;T;6;0
936;15;N;T;0;0
937;15;N;T;34;420
938;16;N;T;0;20
939;16;N;T;8;170
940;16;N;T;18;210
941;16;N;T;4;20
942;16;N;T;3;100
943;16;N;T;4;160
944;16;N;T;6;190
945;16;N;T;14;410
946;16;N;T;0;0
947;16;N;T;2;490
948;16;N;T;0;0
949;16;N;T;0;0
950;16;N;T;0;250
951;16;N;T;0;150
952;16;N;T;0;170
953;16;N;T;0;210
954;16;N;T;0;0
955;16;N;T;0;0
956;16;N;T;0;10
957;16;N;T;0;100
958;16;N;T;0;0
959;16;N;T;2;60
960;16;N;T;1;50
961;16;N;T;0;50
962;16;N;T;7;210
963;16;N;T;0;0
964;16;N;T;0;0
965;16;N;T;60;0
966;16;N;T;18;60
967;16;N;T;2;10
968;16;N;T;0;80
969;16;N;T;16;230
970;16;N;T;0;100
971;16;N;T;0;70
972;16;N;T;0;0
973;16;N;T;0;70
974;16;N;T;1;690
975;16;N;T;3;20
976;16;N;T;0;120
977;16;N;T;14;70
978;16;N;T;0;50
979;16;N;T;0;120
980;16;N;T;18;92
981;16;N;T;0;0
982;16;N;T;2;0
983;17;I;T;50;0
984;17;N;T;198;0
985;17;N;T;37;0
986;17;N;T;41;0
987;17;N;T;751;0
988;17;N;T;41;0
989;17;N;T;743;0
990;17;N;T;48;0
991;17;N;T;66;0
992;17;I;T;44;0
993;17;N;T;50;0
994;17;N;T;50;0
995;17;N;T;674;0
996;17;N;T;150;0
997;17;N;T;763;0
998;17;N;T;47;0
999;17;N;T;688;0
1000;17;N;T;194;0
1001;17;N;T;685;0
1002;18;N;T;4;80
1003;18;N;T;4;77
1004;18;N;T;2;65
1005;18;N;T;2;75
1006;18;N;T;2;0
1007;18;N;T;2;80
1008;18;N;T;0;0
1009;18;N;T;4;160
1010;18;N;T;2;70
1011;18;N;T;2;75
1012;18;N;T;2;80
1013;18;N;T;0;0
1014;18;N;T;4;0
1015;18;N;T;4;0
1016;18;N;T;2;0
1017;18;N;T;2;0
1018;18;N;T;2;0
1019;18;N;T;2;0
1020;18;N;T;2;0
1021;18;N;T;2;80
1022;18;N;T;5;0
1023;18;N;T;4;0
1024;18;N;T;2;65
1025;18;N;T;2;70
1026;18;N;T;2;75
1027;18;N;T;0;0
1028;18;N;T;2;75
1029;18;N;T;4;70
1030;18;N;T;2;0
1031;18;N;T;2;0
1032;18;N;T;2;0
1033;18;N;T;2;75
1034;18;N;T;2;90
1035;18;N;T;2;0
1036;19;N;T;3;27
1037;19;N;T;5;45
1038;19;N;T;4;27
1039;19;N;T;16;99
1040;19;N;T;9;50
1041;19;N;T;2;32
1042;19;N;T;5;36
1043;19;N;T;2;23
1044;19;N;T;4;23
1045;19;N;T;5;45
1046;19;N;T;2;23
1047;19;N;T;2;23
1048;19;N;T;2;45
1049;19;N;T;2;23
1050;19;N;T;2;23
1051;19;N;T;24;176
1052;19;N;T;2;23
1053;19;N;T;2;23
1054;19;N;T;4;23
1055;19;N;T;0;0
1056;19;N;T;8;45
1057;19;N;T;0;23
1058;20;N;T;1;0
1059;20;N;T;1;0
1060;20;N;T;3;0
1061;20;N;T;2;90
1062;20;N;T;10;20
1063;20;N;T;19;140
1064;20;N;T;3;0
1065;20;N;T;6;0
1066;20;N;T;6;50
1067;20;N;T;1;0
1068;20;N;T;1;0
1069;20;N;T;0;0
1070;20;N;T;1;0
1071;20;N;T;3;0
1072;20;N;T;3;0
1073;20;N;T;9;190
1074;20;N;T;2;80
1075;20;N;T;29;130
1076;20;N;T;3;90
1077;20;N;T;5;0
1078;20;N;T;3;0
1079;20;N;T;1;0
1080;20;N;T;1;0
1081;20;N;T;2;0
1082;20;N;T;0;0
1083;20;N;T;0;0
1084;20;N;T;0;0
1085;20;N;T;4;0
1086;20;N;T;0;0
1087;20;N;T;1;0
1088;20;N;T;27;0
1089;20;N;T;0;0
1090;20;N;T;1;0
1091;20;N;T;2;0
1092;20;N;T;1;0
1093;20;N;T;3;0
1094;20;N;T;1;0
1095;20;N;T;4;0
1096;20;N;T;8;0
1097;20;N;T;2;0
1098;20;N;T;4;0
1099;20;N;T;7;0
1100;20;N;T;4;0
1101;20;N;T;1;80
1102;20;N;T;1;0
1103;20;N;T;2;0
1104;20;N;T;2;0
1105;20;N;T;3;0
1106;20;N;T;14;0
1107;21;N;T;2;0
1108;21;N;T;4;0
1109;21;N;T;6;0
1110;21;N;T;0;0
1111;21;N;T;0;0
1112;21;N;T;4;0
1113;21;N;T;5;0
1114;22;I;C;0;13787
1115;22;I;C;0;65764
1116;22;I;C;0;294047
1117;22;I;C;0;980856
1118;22;I;C;0;44696
1119;23;I;R;1312;66039
1120;23;I;R;3416;77625
1121;23;N;R;2902;77625
1122;24;N;T;24;0
1123;24;N;T;32;0
1124;24;N;T;6;0
1125;24;N;T;0;0
1126;24;N;T;2;100
1127;24;N;T;50;1168
1128;24;N;T;11;120
1129;24;N;T;43;560
1130;24;N;T;64;407
1131;24;N;T;31;167
1132;24;N;T;26;197
